车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
ID.4 CROZZ,南京,13,SUV,19.39-29.86,燃油车,24.625,0
哈弗猛龙新能源,贵阳,26,SUV,16.58-19.28,新能源,17.93,1
迈腾,自贡,14,中型车,17.49-24.69,燃油车,21.09,0
宏光MINIEV,成都,312,微型车,3.28-9.99,新能源,6.635,1
本田CR-V,上海,128,SUV,18.59-26.39,燃油车,22.490000000000002,0
Model Y,重庆,405,SUV,26.35-31.35,新能源,28.85,1
零跑B10,淮安,32,SUV,9.98-14.98,新能源,12.48,1
坦克400新能源,乌鲁木齐,96,SUV,27.98-28.98,新能源,28.48,1
宋PLUS新能源,广安,24,SUV,13.58-18.08,新能源,15.829999999999998,1
乐道L60,福州,60,SUV,20.69-25.59,燃油车,23.14,0
宝马5系,温州,109,中大型车,43.99-52.59,燃油车,48.290000000000006,0
轩逸,汕尾,25,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
阿维塔07,沈阳,15,SUV,21.99-28.99,新能源,25.49,1
奥迪A7L,邢台,14,中大型车,41.87-66.62,燃油车,54.245000000000005,0
海豚,天津,219,小型车,9.98-12.98,新能源,11.48,1
元UP,乌兰察布,13,SUV,9.68-11.98,新能源,10.83,1
红旗HS3 PHEV,银川,44,SUV,15.98-15.98,新能源,15.98,1
小米SU7,重庆,568,中大型车,21.59-29.99,新能源,25.79,1
奥迪A4L,芜湖,23,中型车,28.98-40.08,燃油车,34.53,0
AION RT,毕节,16,紧凑型车,11.98-16.58,新能源,14.28,1
深蓝S05,汕头,52,SUV,11.99-14.99,新能源,13.49,1
逸动,金华,87,紧凑型车,7.29-9.69,燃油车,8.49,0
红旗HS7 PHEV,北京,29,SUV,29.08-34.58,新能源,31.83,1
海豹05 DM-i,长沙,91,紧凑型车,7.98-10.38,新能源,9.18,1
曹操60,合肥,44,紧凑型车,11.98-16.98,燃油车,14.48,0
传祺GS3,贵阳,27,SUV,8.58-11.18,燃油车,9.879999999999999,0
五菱宏光V,秦皇岛,14,MPV,4.31-5.45,燃油车,4.88,0
汉兰达,北京,139,SUV,24.98-34.88,新能源,29.93,1
海豹06新能源,江门,94,中型车,9.98-13.98,新能源,11.98,1
海狮05 DM-i,荆州,12,SUV,10.28-14.28,新能源,12.28,1
瑞虎8 PRO,苏州,59,SUV,11.99-16.69,燃油车,14.34,0
海豹05 DM-i,哈尔滨,250,紧凑型车,7.98-10.38,新能源,9.18,1
问界M9,清远,20,SUV,46.98-56.98,新能源,51.98,1
奥迪A6L,广元,13,中大型车,42.79-65.68,燃油车,54.235,0
长安CS75 PLUS,绥化,19,SUV,11.39-14.99,燃油车,13.190000000000001,0
型格,南宁,40,紧凑型车,12.99-18.69,燃油车,15.84,0
长安启源Q05,武汉,16,SUV,9.69-12.79,燃油车,11.239999999999998,0
北京BJ30,营口,40,SUV,9.99-13.69,燃油车,11.84,0
瑞虎8 PRO,南通,14,SUV,11.99-16.69,燃油车,14.34,0
哈弗枭龙MAX,佛山,21,SUV,13.18-17.98,燃油车,15.58,0
零跑C16,合肥,88,SUV,15.18-18.98,新能源,17.08,1
哈弗H6,秦皇岛,58,SUV,9.89-14.69,燃油车,12.29,0
伊兰特,周口,11,紧凑型车,9.98-14.98,燃油车,12.48,0
轩逸,温州,47,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
理想L6,鞍山,91,SUV,24.98-27.98,新能源,26.48,1
海豹06新能源,保定,87,中型车,9.98-13.98,新能源,11.98,1
荣威i5,临沂,91,紧凑型车,6.89-9.09,燃油车,7.99,0
哈弗H6,沧州,78,SUV,9.89-14.69,燃油车,12.29,0
日产N7,温州,21,中大型车,11.99-14.99,燃油车,13.49,0
长安Lumin,邵阳,11,微型车,3.79-6.59,燃油车,5.1899999999999995,0
阿维塔06,上海,261,中型车,20.99-27.99,新能源,24.49,1
钛3,东莞,57,SUV,13.38-19.38,燃油车,16.38,0
奥迪A8,长春,13,大型车,78.98-207.68,燃油车,143.33,0
五菱缤果,漳州,61,小型车,5.68-8.88,燃油车,7.28,0
豹5,呼和浩特,52,SUV,23.98-32.98,燃油车,28.479999999999997,0
奔驰C级,苏州,406,中型车,33.48-38.06,燃油车,35.769999999999996,0
瑞虎8 PRO,呼和浩特,12,SUV,11.99-16.69,燃油车,14.34,0
卡罗拉锐放,宁波,263,SUV,12.98-18.48,燃油车,15.73,0
高尔夫,合肥,47,紧凑型车,12.99-16.58,燃油车,14.785,0
海狮05 EV,衡阳,24,SUV,11.78-13.78,新能源,12.78,1
firefly萤火虫,广州,134,小型车,11.98-12.58,燃油车,12.280000000000001,0
捷达VS7,贵阳,41,SUV,10.79-14.39,燃油车,12.59,0
领克Z20,厦门,14,SUV,13.89-15.39,燃油车,14.64,0
卡罗拉,鞍山,15,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
速腾,沧州,261,紧凑型车,12.79-17.29,燃油车,15.04,0
宝马iX3,上海,66,SUV,40.50-44.50,燃油车,42.5,0
哈弗大狗,庆阳,17,SUV,11.99-16.79,燃油车,14.39,0
零跑B10,唐山,14,SUV,9.98-14.98,新能源,12.48,1
亚洲龙,东营,22,中型车,17.88-27.98,燃油车,22.93,0
奔腾小马,平顶山,74,微型车,2.49-5.39,燃油车,3.94,0
岚图梦想家,乌鲁木齐,18,MPV,32.99-63.99,新能源,48.49,1
海狮05 EV,合肥,195,SUV,11.78-13.78,新能源,12.78,1
路虎卫士,阜阳,12,SUV,68.80-171.60,燃油车,120.19999999999999,0
小米SU7,合肥,856,中大型车,21.59-29.99,新能源,25.79,1
海狮05 EV,河源,17,SUV,11.78-13.78,新能源,12.78,1
银河星耀8,永州,16,中大型车,12.58-16.58,燃油车,14.579999999999998,0
帝豪,南阳,21,紧凑型车,6.29-14.98,燃油车,10.635,0
宏光MINIEV,丽水,36,微型车,3.28-9.99,新能源,6.635,1
问界M9,丽水,30,SUV,46.98-56.98,新能源,51.98,1
小鹏MONA M03,九江,35,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
熊猫,吉林,29,微型车,2.99-5.39,燃油车,4.1899999999999995,0
哈弗二代大狗,呼和浩特,48,SUV,13.58-15.68,燃油车,14.629999999999999,0
海豚,南昌,108,小型车,9.98-12.98,新能源,11.48,1
北京BJ30,鄂尔多斯,34,SUV,9.99-13.69,燃油车,11.84,0
博越L,昆明,108,SUV,9.99-14.97,燃油车,12.48,0
速腾,深圳,176,紧凑型车,12.79-17.29,燃油车,15.04,0
长安启源Q07,杭州,32,SUV,12.98-17.18,燃油车,15.08,0
帕萨特新能源,南京,37,中型车,21.72-24.22,新能源,22.97,1
宝马3系,珠海,48,中型车,29.99-39.99,燃油车,34.99,0
汉兰达,曲靖,30,SUV,24.98-34.88,新能源,29.93,1
帝豪,绥化,28,紧凑型车,6.29-14.98,燃油车,10.635,0
领克900,扬州,12,SUV,30.99-41.69,燃油车,36.339999999999996,0
传祺GS3,通辽,12,SUV,8.58-11.18,燃油车,9.879999999999999,0
皓影,通化,42,SUV,18.59-26.39,燃油车,22.490000000000002,0
锐际,昆明,14,SUV,16.98-22.18,燃油车,19.58,0
坦克300新能源,银川,15,SUV,24.98-26.98,新能源,25.98,1
沃尔沃S90,菏泽,14,中大型车,40.69-50.59,燃油车,45.64,0
深蓝S07,渭南,14,SUV,14.99-20.79,新能源,17.89,1
瑞虎8L,成都,94,SUV,12.99-17.49,燃油车,15.239999999999998,0
五菱缤果,泰州,36,小型车,5.68-8.88,燃油车,7.28,0
林肯Z,北京,35,中型车,23.58-36.58,燃油车,30.08,0
哈弗枭龙MAX,广州,86,SUV,13.18-17.98,燃油车,15.58,0
瑞虎3x,台州,12,SUV,4.99-8.49,燃油车,6.74,0
理想L8,绵阳,19,SUV,32.18-37.98,新能源,35.08,1
阿维塔06,九江,27,中型车,20.99-27.99,新能源,24.49,1
Model 3,邢台,32,中型车,23.19-33.95,新能源,28.57,1
凯美瑞,临汾,16,中型车,17.18-25.98,燃油车,21.58,0
长安CS75 PLUS,九江,31,SUV,11.39-14.99,燃油车,13.190000000000001,0
星越L,阳泉,13,SUV,13.72-17.97,燃油车,15.844999999999999,0
问界M5,吉安,16,SUV,22.98-27.98,新能源,25.48,1
捷途X70,德阳,28,SUV,10.69-14.99,燃油车,12.84,0
零跑C11,泰州,13,SUV,14.88-20.98,新能源,17.93,1
瑞虎3x,大连,11,SUV,4.99-8.49,燃油车,6.74,0
福瑞迪,中卫,16,紧凑型车,7.88-10.28,燃油车,9.08,0
银河星耀8,许昌,25,中大型车,12.58-16.58,燃油车,14.579999999999998,0
零跑T03,烟台,19,微型车,4.99-6.99,新能源,5.99,1
红旗H5,金华,166,中型车,15.98-22.58,燃油车,19.28,0
RAV4荣放,淄博,103,SUV,16.98-26.38,燃油车,21.68,0
格瑞维亚,宜春,11,MPV,29.98-41.68,燃油车,35.83,0
红旗HS5,南通,34,SUV,18.38-24.98,燃油车,21.68,0
雅阁,桂林,26,中型车,17.98-23.88,燃油车,20.93,0
捷途山海T2,乌鲁木齐,53,SUV,17.99-23.99,燃油车,20.99,0
揽胜极光,天津,15,SUV,38.98-47.58,燃油车,43.28,0
红旗H5,石家庄,149,中型车,15.98-22.58,燃油车,19.28,0
奔驰C级,广安,19,中型车,33.48-38.06,燃油车,35.769999999999996,0
坦克300,厦门,14,SUV,19.98-33.00,燃油车,26.490000000000002,0
别克GL8新能源,泰州,36,MPV,24.99-41.99,新能源,33.49,1
卡罗拉锐放,铁岭,15,SUV,12.98-18.48,燃油车,15.73,0
极氪001,成都,111,中大型车,25.90-32.90,新能源,29.4,1
T-ROC探歌,佛山,149,SUV,15.89-17.87,燃油车,16.880000000000003,0
宋PLUS新能源,青岛,183,SUV,13.58-18.08,新能源,15.829999999999998,1
奔驰E级,绵阳,32,中大型车,44.72-59.98,燃油车,52.349999999999994,0
智界S7,宁波,20,中大型车,22.98-34.98,新能源,28.979999999999997,1
小鹏X9,南通,14,MPV,35.98-41.98,新能源,38.98,1
红旗H6,周口,12,中型车,17.98-23.98,燃油车,20.98,0
小米SU7,无锡,416,中大型车,21.59-29.99,新能源,25.79,1
T-ROC探歌,安阳,11,SUV,15.89-17.87,燃油车,16.880000000000003,0
长安CS55PLUS,天水,23,SUV,9.29-12.59,燃油车,10.94,0
豹5,潍坊,26,SUV,23.98-32.98,燃油车,28.479999999999997,0
宏光MINIEV,三明,45,微型车,3.28-9.99,新能源,6.635,1
途观L,湖州,63,SUV,18.68-26.68,燃油车,22.68,0
红旗H5,晋城,16,中型车,15.98-22.58,燃油车,19.28,0
传祺M8,商丘,24,MPV,17.98-34.28,燃油车,26.130000000000003,0
红旗HS3 PHEV,泉州,21,SUV,15.98-15.98,新能源,15.98,1
迈腾,吉安,17,中型车,17.49-24.69,燃油车,21.09,0
逍客,广州,78,SUV,12.59-17.49,燃油车,15.04,0
秦PLUS,临汾,68,紧凑型车,7.98-17.98,新能源,12.98,1
零跑C10,广州,266,SUV,12.28-16.88,新能源,14.579999999999998,1
星海S7,广州,13,中大型车,10.99-18.99,燃油车,14.989999999999998,0
奥迪A4L,泉州,44,中型车,28.98-40.08,燃油车,34.53,0
思域,淮南,11,紧凑型车,12.99-18.79,燃油车,15.89,0
奔驰GLB,邯郸,17,SUV,31.19-36.79,燃油车,33.99,0
别克GL8新能源,平顶山,27,MPV,24.99-41.99,新能源,33.49,1
格瑞维亚,兰州,11,MPV,29.98-41.68,燃油车,35.83,0
领睿,潍坊,17,SUV,9.88-16.55,燃油车,13.215,0
银河星舰7 EM-i,商丘,19,SUV,10.38-13.68,燃油车,12.030000000000001,0
奇瑞iCAR 03,无锡,18,SUV,10.98-16.98,燃油车,13.98,0
钛3,烟台,19,SUV,13.38-19.38,燃油车,16.38,0
理想L7,常州,101,SUV,30.18-35.98,新能源,33.08,1
海豹06新能源,嘉峪关,11,中型车,9.98-13.98,新能源,11.98,1
理想L9,绵阳,17,SUV,40.98-43.98,新能源,42.48,1
魏牌 高山,南宁,21,MPV,30.98-40.58,燃油车,35.78,0
海豹05 DM-i,宜昌,22,紧凑型车,7.98-10.38,新能源,9.18,1
阿维塔12,广州,28,中大型车,26.99-70.00,新能源,48.495,1
锋兰达,揭阳,69,SUV,12.58-18.48,燃油车,15.530000000000001,0
元UP,抚州,38,SUV,9.68-11.98,新能源,10.83,1
瑞虎9,武汉,29,SUV,15.29-20.99,燃油车,18.14,0
君威,广州,55,中型车,15.98-17.58,燃油车,16.78,0
小鹏G6,长沙,52,SUV,17.68-27.69,新能源,22.685000000000002,1
途岳,临沧,17,SUV,12.59-21.66,燃油车,17.125,0
传祺M6,惠州,26,MPV,11.98-15.98,燃油车,13.98,0
长安UNI-V,阿克苏,14,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
红旗HS3 PHEV,盘锦,13,SUV,15.98-15.98,新能源,15.98,1
阿维塔07,南通,18,SUV,21.99-28.99,新能源,25.49,1
红旗HS5,济南,96,SUV,18.38-24.98,燃油车,21.68,0
问界M7,大连,12,SUV,24.98-32.98,新能源,28.979999999999997,1
五菱缤果,赣州,24,小型车,5.68-8.88,燃油车,7.28,0
逸动,福州,69,紧凑型车,7.29-9.69,燃油车,8.49,0
皓影,惠州,49,SUV,18.59-26.39,燃油车,22.490000000000002,0
宏光MINIEV,萍乡,21,微型车,3.28-9.99,新能源,6.635,1
熊猫,德州,118,微型车,2.99-5.39,燃油车,4.1899999999999995,0
奥迪Q3,长春,19,SUV,25.18-29.68,燃油车,27.43,0
领途E-M8,湛江,21,MPV,14.18-17.28,燃油车,15.73,0
速腾,桂林,40,紧凑型车,12.79-17.29,燃油车,15.04,0
索纳塔,南昌,16,中型车,13.98-20.58,燃油车,17.28,0
秦L,双鸭山,39,中型车,9.98-15.38,新能源,12.68,1
丰田bZ3,邢台,13,中型车,16.98-19.98,燃油车,18.48,0
熊猫,许昌,135,微型车,2.99-5.39,燃油车,4.1899999999999995,0
马自达CX-5,苏州,54,SUV,12.58-19.78,燃油车,16.18,0
宝马X3,海口,15,SUV,34.99-48.69,燃油车,41.84,0
逍客,晋中,22,SUV,12.59-17.49,燃油车,15.04,0
哈弗枭龙MAX,武汉,100,SUV,13.18-17.98,燃油车,15.58,0
蔚来ET5,西安,60,中型车,29.80-35.60,新能源,32.7,1
元UP,吕梁,22,SUV,9.68-11.98,新能源,10.83,1
理想L8,嘉兴,43,SUV,32.18-37.98,新能源,35.08,1
逍客,长春,52,SUV,12.59-17.49,燃油车,15.04,0
Macan,上海,29,SUV,57.80-85.80,燃油车,71.8,0
奔驰CLE,济南,11,跑车,45.76-59.63,燃油车,52.695,0
深蓝S05,佛山,62,SUV,11.99-14.99,新能源,13.49,1
奔驰C级,乐山,22,中型车,33.48-38.06,燃油车,35.769999999999996,0
传祺GS8,南阳,11,SUV,15.98-24.68,燃油车,20.33,0
本田HR-V,赤峰,11,SUV,15.99-22.89,燃油车,19.44,0
理想L6,潍坊,106,SUV,24.98-27.98,新能源,26.48,1
秦PLUS,枣庄,90,紧凑型车,7.98-17.98,新能源,12.98,1
宝马X1,徐州,26,SUV,28.89-34.99,燃油车,31.94,0
海鸥,濮阳,168,小型车,6.98-8.58,新能源,7.78,1
悦意03,滨州,39,SUV,7.98-12.29,燃油车,10.135,0
艾瑞泽8,洛阳,48,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
银河星耀8,包头,12,中大型车,12.58-16.58,燃油车,14.579999999999998,0
小鹏MONA M03,黄石,19,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
长安CS75 PLUS,淄博,35,SUV,11.39-14.99,燃油车,13.190000000000001,0
阿维塔12,西安,34,中大型车,26.99-70.00,新能源,48.495,1
锐界,苏州,40,SUV,22.68-30.98,燃油车,26.83,0
RAV4荣放,咸阳,37,SUV,16.98-26.38,燃油车,21.68,0
长安CS75 PLUS,德阳,38,SUV,11.39-14.99,燃油车,13.190000000000001,0
银河星舰7 EM-i,赣州,37,SUV,10.38-13.68,燃油车,12.030000000000001,0
本田CR-V,益阳,53,SUV,18.59-26.39,燃油车,22.490000000000002,0
凯迪拉克CT5,金华,40,中型车,28.99-34.59,燃油车,31.79,0
宝马3系,衡阳,44,中型车,29.99-39.99,燃油车,34.99,0
哈弗枭龙MAX,荆门,12,SUV,13.18-17.98,燃油车,15.58,0
轩逸,衢州,40,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
宋PLUS新能源,哈尔滨,163,SUV,13.58-18.08,新能源,15.829999999999998,1
皓影,东莞,405,SUV,18.59-26.39,燃油车,22.490000000000002,0
宝马3系,南宁,145,中型车,29.99-39.99,燃油车,34.99,0
宋PLUS新能源,武威,26,SUV,13.58-18.08,新能源,15.829999999999998,1
大众ID.7 VIZZION,北京,29,中型车,22.78-26.28,燃油车,24.53,0
汉兰达,茂名,17,SUV,24.98-34.88,新能源,29.93,1
小鹏X9,东莞,41,MPV,35.98-41.98,新能源,38.98,1
长安UNI-V,南昌,31,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
马自达EZ-6,成都,19,中型车,13.98-18.18,燃油车,16.08,0
小鹏P7+,茂名,13,中大型车,18.68-20.88,新能源,19.78,1
海鸥,包头,139,小型车,6.98-8.58,新能源,7.78,1
宏光MINIEV,聊城,289,微型车,3.28-9.99,新能源,6.635,1
领克Z20,青岛,25,SUV,13.89-15.39,燃油车,14.64,0
哈弗H6,金华,28,SUV,9.89-14.69,燃油车,12.29,0
途岳,益阳,28,SUV,12.59-21.66,燃油车,17.125,0
瑞虎7 PLUS,宜春,11,SUV,9.19-15.39,燃油车,12.29,0
五菱之光新能源,滨州,32,MPV,4.78-5.08,新能源,4.93,1
本田CR-V,盘锦,56,SUV,18.59-26.39,燃油车,22.490000000000002,0
唐L,嘉兴,14,SUV,22.98-28.98,新能源,25.98,1
唐新能源,阿克苏,21,SUV,17.98-26.98,新能源,22.48,1
奥迪Q5L,武汉,281,SUV,34.98-48.88,燃油车,41.93,0
星越L,南宁,93,SUV,13.72-17.97,燃油车,15.844999999999999,0
唐L,长春,28,SUV,22.98-28.98,新能源,25.98,1
长安CS75 PLUS,武汉,122,SUV,11.39-14.99,燃油车,13.190000000000001,0
smart精灵#3,郑州,13,SUV,16.49-28.99,燃油车,22.74,0
领克06,潍坊,13,SUV,10.86-13.26,燃油车,12.059999999999999,0
秦PLUS,南通,54,紧凑型车,7.98-17.98,新能源,12.98,1
宋L DM-i,开封,24,SUV,13.58-17.58,新能源,15.579999999999998,1
君越,唐山,36,中型车,17.99-23.99,燃油车,20.99,0
荣威D7,青岛,13,中型车,12.38-21.98,燃油车,17.18,0
瑞虎7,普洱,13,SUV,7.49-13.99,燃油车,10.74,0
君威,佛山,20,中型车,15.98-17.58,燃油车,16.78,0
长安CS75 PLUS,巴彦淖尔,35,SUV,11.39-14.99,燃油车,13.190000000000001,0
博越L,宝鸡,41,SUV,9.99-14.97,燃油车,12.48,0
极氪001,南通,14,中大型车,25.90-32.90,新能源,29.4,1
迈腾,贵阳,102,中型车,17.49-24.69,燃油车,21.09,0
五菱宏光PLUS,南通,16,MPV,5.88-7.98,燃油车,6.93,0
汉兰达,阜阳,17,SUV,24.98-34.88,新能源,29.93,1
极氪7X,广州,133,SUV,22.99-26.99,新能源,24.99,1
秦PLUS,齐齐哈尔,145,紧凑型车,7.98-17.98,新能源,12.98,1
探岳,汉中,34,SUV,19.89-25.99,燃油车,22.939999999999998,0
QQ冰淇淋,苏州,16,微型车,2.99-5.69,燃油车,4.34,0
豹5,北京,74,SUV,23.98-32.98,燃油车,28.479999999999997,0
极氪007GT,苏州,296,中型车,20.29-26.29,新能源,23.29,1
瑞虎9,太原,15,SUV,15.29-20.99,燃油车,18.14,0
宏光MINIEV,延安,20,微型车,3.28-9.99,新能源,6.635,1
汉兰达,重庆,107,SUV,24.98-34.88,新能源,29.93,1
阿维塔12,惠州,11,中大型车,26.99-70.00,新能源,48.495,1
奔驰GLC,唐山,31,SUV,42.78-53.13,燃油车,47.955,0
长安UNI-V,郴州,11,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
红旗E-QM5,通化,20,中型车,12.18-23.98,燃油车,18.08,0
揽巡,呼伦贝尔,13,SUV,24.29-32.59,燃油车,28.44,0
宝来,岳阳,29,紧凑型车,11.29-14.39,燃油车,12.84,0
蔚来ET5,东莞,17,中型车,29.80-35.60,新能源,32.7,1
星瑞,杭州,200,紧凑型车,9.97-14.57,燃油车,12.27,0
银河L6,上海,80,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
长安启源A07,德州,18,中大型车,11.99-17.69,燃油车,14.84,0
元PLUS,南昌,117,SUV,11.58-14.78,新能源,13.18,1
沃尔沃S90,石家庄,15,中大型车,40.69-50.59,燃油车,45.64,0
雅阁,青岛,108,中型车,17.98-23.88,燃油车,20.93,0
速腾,南通,140,紧凑型车,12.79-17.29,燃油车,15.04,0
AION RT,珠海,27,紧凑型车,11.98-16.58,新能源,14.28,1
纳米01,贵阳,20,小型车,6.58-13.98,燃油车,10.280000000000001,0
瑞虎8,黔南,34,SUV,9.78-16.19,燃油车,12.985,0
智己L6,上海,228,中大型车,21.99-34.59,燃油车,28.29,0
银河L6,中山,21,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
海豹06新能源,无锡,127,中型车,9.98-13.98,新能源,11.98,1
风云T9,毕节,16,SUV,12.99-19.39,燃油车,16.19,0
艾瑞泽8,宿迁,34,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
秦PLUS,芜湖,73,紧凑型车,7.98-17.98,新能源,12.98,1
北京越野BJ40增程,呼伦贝尔,39,SUV,17.98-29.98,新能源,23.98,1
唐L,太原,41,SUV,22.98-28.98,新能源,25.98,1
长安欧尚X5 PLUS,北京,14,SUV,9.19-11.49,燃油车,10.34,0
秦L,哈密,30,中型车,9.98-15.38,新能源,12.68,1
Cayenne,贵阳,21,SUV,91.80-250.80,燃油车,171.3,0
迈腾,包头,51,中型车,17.49-24.69,燃油车,21.09,0
银河星舰7 EM-i,安庆,13,SUV,10.38-13.68,燃油车,12.030000000000001,0
风云T9,廊坊,13,SUV,12.99-19.39,燃油车,16.19,0
悦意03,扬州,12,SUV,7.98-12.29,燃油车,10.135,0
长安CS75 PLUS,中卫,23,SUV,11.39-14.99,燃油车,13.190000000000001,0
捷途山海T2,济南,18,SUV,17.99-23.99,燃油车,20.99,0
奥迪S4,北京,20,中型车,48.88-52.18,燃油车,50.53,0
零跑C16,廊坊,20,SUV,15.18-18.98,新能源,17.08,1
唐新能源,赣州,14,SUV,17.98-26.98,新能源,22.48,1
途观L,安庆,35,SUV,18.68-26.68,燃油车,22.68,0
MG7,贵阳,25,中型车,11.98-17.89,燃油车,14.935,0
海狮05 DM-i,西宁,13,SUV,10.28-14.28,新能源,12.28,1
小鹏G6,南京,127,SUV,17.68-27.69,新能源,22.685000000000002,1
奔驰GLE,武汉,50,SUV,69.98-88.98,燃油车,79.48,0
雅阁,荆门,18,中型车,17.98-23.88,燃油车,20.93,0
e:NP2 极湃2,聊城,12,SUV,18.98-18.98,燃油车,18.98,0
RAV4荣放,赣州,50,SUV,16.98-26.38,燃油车,21.68,0
沃尔沃XC60,张家口,26,SUV,39.69-47.49,燃油车,43.59,0
海豹05 DM-i,宿州,14,紧凑型车,7.98-10.38,新能源,9.18,1
岚图梦想家,临沂,23,MPV,32.99-63.99,新能源,48.49,1
别克GL8,枣庄,24,MPV,23.29-47.39,燃油车,35.34,0
哈弗H6,银川,20,SUV,9.89-14.69,燃油车,12.29,0
北京越野BJ40增程,宜宾,12,SUV,17.98-29.98,新能源,23.98,1
秦L,宁德,16,中型车,9.98-15.38,新能源,12.68,1
卡罗拉,邢台,19,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
欧拉好猫,驻马店,26,小型车,10.58-13.58,燃油车,12.08,0
奔驰GLB,青岛,50,SUV,31.19-36.79,燃油车,33.99,0
威兰达,沈阳,73,SUV,17.38-26.48,燃油车,21.93,0
腾势N9,佛山,49,SUV,38.98-44.98,新能源,41.98,1
君越,泰州,19,中型车,17.99-23.99,燃油车,20.99,0
海豹07 DM-i,成都,86,中型车,13.98-19.58,新能源,16.78,1
长安睿行M60,长春,51,MPV,5.49-6.62,燃油车,6.055,0
五菱宏光新能源,泰州,22,MPV,6.88-7.38,新能源,7.13,1
迈腾,菏泽,201,中型车,17.49-24.69,燃油车,21.09,0
钛3,枣庄,12,SUV,13.38-19.38,燃油车,16.38,0
小鹏G6,台州,44,SUV,17.68-27.69,新能源,22.685000000000002,1
钛3,阜阳,30,SUV,13.38-19.38,燃油车,16.38,0
秦L,湛江,56,中型车,9.98-15.38,新能源,12.68,1
哈弗H5,乌鲁木齐,56,SUV,12.28-19.28,燃油车,15.780000000000001,0
五菱宏光S,秦皇岛,35,MPV,0.00-0.00,燃油车,0.0,0
MINI,杭州,43,小型车,23.38-31.98,燃油车,27.68,0
五菱缤果,银川,16,小型车,5.68-8.88,燃油车,7.28,0
瑞虎8 PRO,西安,130,SUV,11.99-16.69,燃油车,14.34,0
问界M9,绍兴,126,SUV,46.98-56.98,新能源,51.98,1
奔驰A级,青岛,14,紧凑型车,25.13-27.57,燃油车,26.35,0
领克900,南宁,37,SUV,30.99-41.69,燃油车,36.339999999999996,0
小蚂蚁,唐山,20,微型车,5.49-7.69,燃油车,6.59,0
长安CS75,喀什,13,SUV,10.29-11.99,燃油车,11.14,0
银河E5,吉安,17,SUV,11.28-14.88,燃油车,13.08,0
e:NP1 极湃1,长沙,42,SUV,17.50-21.80,燃油车,19.65,0
海豹06新能源,漳州,12,中型车,9.98-13.98,新能源,11.98,1
AION Y,湛江,72,SUV,9.98-14.58,新能源,12.280000000000001,1
五菱缤果,临汾,74,小型车,5.68-8.88,燃油车,7.28,0
朗逸,四平,16,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
理想L7,淄博,60,SUV,30.18-35.98,新能源,33.08,1
瑞虎8 PRO,天津,88,SUV,11.99-16.69,燃油车,14.34,0
享界S9,惠州,40,中大型车,30.98-44.98,新能源,37.98,1
卡罗拉锐放,衡阳,47,SUV,12.98-18.48,燃油车,15.73,0
极狐 阿尔法S5,成都,100,中型车,12.78-18.48,燃油车,15.629999999999999,0
蔚来ET7,成都,14,中大型车,42.80-51.60,新能源,47.2,1
星愿,西安,322,小型车,6.88-9.78,燃油车,8.33,0
瑞虎9,武威,19,SUV,15.29-20.99,燃油车,18.14,0
宏光MINIEV,马鞍山,11,微型车,3.28-9.99,新能源,6.635,1
君越,嘉兴,20,中型车,17.99-23.99,燃油车,20.99,0
宝马5系,济南,179,中大型车,43.99-52.59,燃油车,48.290000000000006,0
唐新能源,宁波,23,SUV,17.98-26.98,新能源,22.48,1
宋PLUS新能源,汕头,80,SUV,13.58-18.08,新能源,15.829999999999998,1
